日期	最新股价	开盘	高	低	交易量	百分比变化
2017年1月20日	120.00	120.33	120.33	119.75	32.60M	0.18%
2017年1月19日	119.78	119.40	120.09	119.37	25.60M	-0.18%
2017年1月18日	119.99	120.00	120.50	119.71	23.71M	-0.01%
2017年1月17日	120.00	118.34	120.24	118.22	34.44M	0.81%
2017年1月13日	119.04	119.11	119.62	118.81	26.11M	-0.18%
2017年1月12日	119.25	118.89	119.30	118.21	27.09M	-0.42%
2017年1月11日	119.75	118.74	119.93	118.60	27.59M	0.54%
2017年1月10日	119.11	118.77	119.38	118.30	24.46M	0.10%
2017年1月9日	118.99	117.95	119.43	117.94	33.56M	0.92%
2017年1月6日	117.91	116.78	118.16	116.47	31.75M	1.11%
2017年1月5日	116.61	115.92	116.86	115.81	22.19M	0.51%
2017年1月4日	116.02	115.85	116.51	115.75	21.12M	-0.11%
2017年1月3日	116.15	115.80	116.33	114.76	28.78M	0.28%
2016年12月30日	115.82	116.65	117.20	115.43	30.59M	-0.78%
2016年12月29日	116.73	116.45	117.11	116.40	15.04M	-0.03%
2016年12月28日	116.76	117.52	118.02	116.20	20.91M	-0.43%
2016年12月27日	117.26	116.52	117.80	116.49	18.30M	0.64%
2016年12月23日	116.52	115.59	116.52	115.59	14.25M	0.20%
2016年12月22日	116.29	116.35	116.51	115.64	26.09M	-0.66%
2016年12月21日	117.06	116.80	117.40	116.78	23.78M	0.09%
2016年12月20日	116.95	116.74	117.50	116.68	21.42M	0.27%
2016年12月19日	116.64	115.80	117.38	115.75	27.78M	0.58%
2016年12月16日	115.97	116.47	116.50	115.64	44.35M	0.13%
2016年12月15日	115.82	115.38	116.73	115.23	46.52M	0.55%
2016年12月14日	115.19	115.04	116.20	114.98	34.03M	0.00%
2016年12月13日	115.19	113.84	115.92	113.75	43.73M	1.67%
2016年12月12日	113.30	113.29	115.00	112.49	26.37M	-0.57%
2016年12月9日	113.95	112.31	114.70	112.31	34.40M	1.63%
2016年12月8日	112.12	110.86	112.43	110.60	27.07M	0.98%
2016年12月7日	111.03	109.26	111.19	109.16	30.00M	0.98%
2016年12月6日	109.95	109.50	110.36	109.19	26.20M	0.77%
2016年12月5日	109.11	110.00	110.03	108.25	34.32M	-0.72%
2016年12月2日	109.90	109.17	110.09	108.85	26.53M	0.37%
2016年12月1日	109.49	110.36	110.94	109.03	37.09M	-0.93%
2016年11月30日	110.52	111.60	112.20	110.27	36.16M	-0.84%
2016年11月29日	111.46	110.78	112.03	110.07	28.53M	-0.10%
